"","week","units.car.pick.2010","units.car.pick.2011","hours.car.pick.2010","hours.car.pick.2011","direct.hours.car.pick.2010","direct.hours.car.pick.2011","indirect.hours.car.pick.2010","indirect.hours.car.pick.2011","rate.car.pick.2011","units.car.putaway.2010","units.car.putaway.2011","hours.car.putaway.2010","hours.car.putaway.2011","direct.hours.car.putaway.2010","direct.hours.car.putaway.2011","indirect.hours.car.putaway.2010","indirect.hours.car.putaway.2011","rate.car.putaway.2010","rate.car.putaway.2011","units.inbound.2010","units.inbound.2011","hours.inbound.2010","hours.inbound.2011","rate.inbound.2010","rate.inbound.2011","units.multis.2010","units.multis.2011","hours.multis.2010","hours.multis.2011","direct.hours.multis.2010","direct.hours.multis.2011","indirect.hours.multis.2010","indirect.hours.multis.2011","rate.multis.2010","rate.multis.2011","units.outbound.2010","units.outbound.2011","hours.outbound.2010","hours.outbound.2011","rate.outbound.2010","rate.outbound.2011","units.receive.2010","units.receive.2011","hours.receive.2010","hours.receive.2011","direct.hours.receive.2010","direct.hours.receive.2011","indirect.hours.receive.2010","indirect.hours.receive.2011","rate.receive.2010","rate.receive.2011","units.returns.2010","units.returns.2011","hours.returns.2010","hours.returns.2011","direct.hours.returns.2010","direct.hours.returns.2011","indirect.hours.returns.2010","indirect.hours.returns.2011","rate.returns.2010","rate.returns.2011","units.shipping.2010","units.shipping.2011","hours.shipping.2010","hours.shipping.2011","rate.shipping.2010","rate.shipping.2011","units.singles.2010","units.singles.2011","hours.singles.2010","hours.singles.2011","direct.hours.singles.2010","direct.hours.singles.2011","indirect.hours.singles.2010","indirect.hours.singles.2011","rate.singles.2010","rate.singles.2011","units.singulate.2011","hours.singulate.2011","rate.singulate.2011","units.static.picking.2010","units.static.picking.2011","hours.static.picking.2010","hours.static.picking.2011","direct.hours.static.picking.2010","direct.hours.static.picking.2011","indirect.hours.static.picking.2010","indirect.hours.static.picking.2011","rate.static.picking.2010","rate.static.picking.2011","units.static.putaway.2010","units.static.putaway.2011","hours.static.putaway.2010","hours.static.putaway.2011","direct.hours.static.putaway.2010","direct.hours.static.putaway.2011","indirect.hours.static.putaway.2010","indirect.hours.static.putaway.2011","rate.static.putaway.2010","rate.static.putaway.2011","all.indirect","indirect.hours.all.2011","all.direct","direct.hours.all.2011","outbound.indirect","indirect.hours.outbound.2011","outbound.direct","direct.hours.outbound.2011","indirect.hours.outbound.2010","direct.hours.outbound.2010","indirect.hours.inbound.2011","direct.hours.inbound.2011","indirect.hours.inbound.2010","direct.hours.inbound.2010","rate.picking.2010","rate.picking.2011","rate.putaway.2010","rate.putaway.2011","hours.problem.solve.singles.2010","hours.problem.solve.singles.2011","hours.problem.solve.multis.2010","hours.problem.solve.multis.2011","hours.problem.solve.carousel.picking.2010","hours.problem.solve.carousel.picking.2011","hours.problem.solve.static.picking.2010","hours.problem.solve.static.picking.2011","hours.problem.solve.carousel.putaway.2010","hours.problem.solve.carousel.putaway.2011","hours.problem.solve.static.putaway.2010","hours.problem.solve.static.putaway.2011","hours.problem.solve.2010","hours.problem.solve.2011"
"1",1,77643,62929,387.9599,331.9,282.7399,238.41,105.22,93.49,189.6,134804,93543,426,374.2219,426,272.5599,0,101.662,316.44,249.97,350463,442587,7657.17,12657.1845,45.77,34.97,96780,123089,1600.872,2304.08,1274.26,1731.23,326.612,572.85,60.45,53.42,267089,296566,7263.6991,10329.755,36.77,28.71,241091,254857,1678.25,1594.49,1167.44,1154.03,510.81,440.46,143.66,159.84,109372,187730,4197.5,8403.79,3140.805,6677.21,1056.695,1726.58,26.06,22.34,267089,296566,944.905,1122.17,282.66,264.28,110338,170683,1295.352,1903.58,893.44,1129.33,401.912,774.25,85.18,89.66,NA,NA,NA,168035,206120,2125.9322,3255.065,1806.8542,2811.41,319.078,443.655,79.04,63.32,196566,284878,1259,2284.6826,1259,1844.8298,0,439.8528,156.13,124.69,4592.7998,4592.7998,15859.0097,15859.0097,1884.245,1884.245,5910.38,5910.38,1152.822,4257.2941,2708.5548,9948.6297,1567.505,5993.245,97.728140360519,75.0074227097281,196.658753709199,142.32214808768,79.66,108.5,58.13,129.12,30.625,30.25,141.2548,106.08,0,5.1211,0,32.5,309.6698,411.5711
"2",2,94087,79204,479.175,376.845,326.55,267.4,152.625,109.445,210.18,154344,82157,525.75,305.881,525.75,193.095,0,112.786,293.57,268.59,450140,516002,10344.09,12521.7867,43.52,41.21,108720,156539,1788.487,2904.94,1429.39,2188.32,359.097,716.62,60.79,53.89,310528,393488,8571.066,13078.435,36.23,30.09,300810,342660,2238.27,2335.7016,1593.73,1554.0097,644.54,781.6919,134.39,146.71,149330,173342,5818.82,7020.133,3926.435,5548.9523,1892.385,1471.1807,25.66,24.69,310528,393488,1107.4,1522,280.41,258.53,118861,248118,1419.667,2532.5,928.33,1587.08,491.337,945.42,83.72,97.97,NA,NA,NA,192040,283501,2498.185,3704.28,2175.99,3272.16,322.195,432.12,76.87,76.53,285734,365472,1740.75,2860.0711,1740.75,2353.0954,0,506.9757,164.14,127.78,5076.2393,5076.2393,16964.1124,16964.1124,2203.605,2203.605,7314.96,7314.96,1325.254,4860.26,2872.6343,9649.1524,2536.925,7786.665,96.1009081871188,88.8737786762229,194.166335759982,141.388430987317,96.79,141.5,51.22,165.25,40.585,29.32,140.305,144.745,0,5.25,0,24.75,328.9,510.815
"3",3,94114,71567,482.97,343.3125,332.935,247.6875,150.035,95.625,208.46,102381,51674,368.75,214.3124,368.75,162.7206,0,51.5918,277.64,241.12,346788,438098,7489.35,9903.8557,46.3,44.24,109773,154436,1881.933,2820.575,1446.425,2079.08,435.508,741.495,58.33,54.75,294889,350884,8370.363,11526.3,35.23,30.44,241612,295647,1860.1,1883.69,1364.27,1350.73,495.83,532.96,129.89,156.95,105176,142451,3805.5,5374.6603,2719.37,4316.2006,1086.13,1058.4597,27.64,26.5,294889,350884,1101.03,1256.84,267.83,279.18,107337,197572,1289.47,2118.08,832.93,1192.5,456.54,925.58,83.24,93.28,NA,NA,NA,179611,245687,2312.72,3140.4825,1991.58,2774.2325,321.14,366.25,77.66,78.23,238211,343567,1455,2431.193,1455,2013.4735,0,417.7195,163.72,141.32,4189.681,4189.681,14136.6247,14136.6247,2128.95,2128.95,6293.5,6293.5,1363.223,4603.87,2060.731,7843.1247,1581.96,5907.39,97.9096394807722,91.065633884887,186.753666895134,149.400942443739,89.21,133.75,65.04,130,38.825,10.75,96.55,154.375,0,2.5,0,35,289.625,466.375
"4",4,92335,68159,432.21,320.505,297.35,225.63,134.86,94.875,212.66,100708,55404,351.2,230.8725,351.2,159.6858,0,71.1867,286.75,239.98,316430,354777,6523.93,8707.6006,48.5,40.74,107123,146079,1762.845,2761.26,1405.37,2095.06,357.475,666.2,60.77,52.9,282643,351139,8208.655,11088.399,34.43,31.67,227793,218933,1806.48,1401.91,1270.29,1086.54,536.19,315.37,126.1,156.17,88637,135844,2981.99,5145.1329,2379.03,4118.2858,602.96,1026.8471,29.72,26.4,282643,351139,1059.79,1215.41,266.7,288.91,98789,157714,1207.835,2061.74,772.54,1240.66,435.295,821.08,81.79,76.5,NA,NA,NA,180919,251248,2418.15,3082.16,2007.95,2757.46,410.2,324.7,74.82,81.52,210177,251675,1352.25,1929.6852,1352.25,1451.4327,0,478.2525,155.43,130.42,3798.5113,3798.5113,13134.7543,13134.7543,1906.855,1906.855,6318.81,6318.81,1337.83,4483.21,1891.6563,6815.9443,1139.15,5352.77,95.8664870402335,93.8696580474422,182.503155361179,142.129506654694,100.23,132.08,74.05,114.25,30.805,28.125,222.105,104.125,0,3.75,0,21.71,427.19,404.04
"5",5,102686,75344,488.82,338.67,350.64,254.865,138.18,83.805,222.47,126948,119859,416.75,518.4267,416.75,376.3689,0,142.0578,304.61,231.2,355366,446226,6618.47,8275.4715,53.69,53.92,127680,144678,2175.769,2624.06,1708.7,1920.37,467.069,703.69,58.68,55.14,313759,357220,9191.403,11106.065,34.14,32.16,262811,336601,1878.05,1981.1192,1303.2,1354.92,574.85,626.1992,139.94,169.9,92555,109625,2969.17,3928.8926,2416.02,3073.3364,553.15,855.5562,31.17,27.9,313759,357220,1119.51,1300.83,280.26,274.61,110197,132249,1427.382,1848.9,888.35,1091.57,539.032,757.33,77.2,71.53,NA,NA,NA,202696,243086,2711.82,3044.165,2340.92,2694.2,370.9,349.965,74.75,79.85,228670,264678,1354.5,1847.033,1354.5,1510.5542,0,343.9449,168.82,143.3,3862.5481,3862.5481,12276.1845,12276.1845,1894.79,1894.79,5961.005,5961.005,1515.181,5288.61,1967.7581,6315.1795,1128,5490.47,95.4127924415117,94.1311060101956,200.77233592096,162.563327542634,125.5,121.75,86.11,147.25,28.95,18.68,173.58,114.715,0,5.5,0,18.5,414.14,426.395
"6",6,103082,86200,541.395,389.885,367.945,309.76,173.45,80.125,221.09,117623,106982,398.25,400.6806,398.25,314.8872,0,85.7934,295.35,267,342446,474482,6230.32,9334.654,54.96,50.83,125338,147887,2141.656,2454.81,1689.87,1897.23,451.786,557.58,58.52,60.24,329652,366120,10085.878,10951.265,32.68,33.43,263868,349076,1948.44,2174.7471,1377.33,1630.0537,571.11,544.6934,135.43,160.51,78578,125406,2551.13,4525.7025,2072.55,3540.6464,478.58,985.0561,30.8,27.71,329652,366120,1209.99,1227.42,272.44,298.28,109544,124785,1412.776,1741.91,919.52,1033.49,493.256,708.42,77.54,71.64,NA,NA,NA,220360,239166,3239.465,3007.01,2647.455,2740.51,592.01,266.5,68.02,79.54,211849,304566,1332.5,2233.5238,1332.5,1849.7521,0,393.8853,158.99,136.36,3622.0532,3622.0532,13316.3294,13316.3294,1612.625,1612.625,5980.99,5980.99,1710.502,5624.79,2009.4282,7335.3394,1049.69,5180.63,85.5472035462831,95.7833550934015,190.363715152391,156.232371337623,106.49,116,84.125,134.75,34.155,7.375,331.64,77.375,0,5,0,25,556.41,365.5
"7",7,100149,86881,513.1,401.5,354.98,289.625,158.12,111.875,216.39,115977,61858,432.25,284.2611,400.25,190.3764,32,93.8847,268.31,217.61,324755,527222,6088.73,10250.51115,53.34,51.43,120417,176346,2191.713,2920.27,1616.1,2352.65,575.613,567.62,54.94,60.39,300543,399236,9378.177,12526.965,32.05,31.87,241519,392722,1674.99,2982.97,1194.51,2074.85,480.48,908.12,144.19,131.65,83236,134500,2632.99,4909.01855,2133.07,3730.9794,499.92,1178.03915,31.61,27.4,300543,399236,1171.945,1241.75,256.45,321.51,99274,126414,1315.962,1777.08,801.53,1064.83,514.432,712.25,75.44,71.14,NA,NA,NA,190674,261305,2838.83,3758.535,2274.65,3319.99,564.18,438.545,67.17,69.52,202533,269986,1348.5,2074.2615,1343,1646.5581,5.5,438.0992,150.19,130.16,4448.43305,4448.43305,14669.8589,14669.8589,1830.29,1830.29,7027.095,7027.095,1812.345,5047.26,2618.14305,7642.7639,1017.9,5070.83,86.762850059518,83.6978535036364,178.862838691563,140.699944957068,105.75,116,96.09,177.87,25.375,22.875,183.415,82.625,0,2.5,0,16,410.63,417.87
"8",8,103397,84126,493.405,414.62,344.68,289.37,148.725,125.25,202.9,104976,83819,417.25,352.7941,384.25,266.4459,33,86.3482,251.59,237.59,334277,522267,6602.48,9712.6529,50.63,53.77,129904,222559,2293.35,3303.88,1778.97,2386.42,514.38,917.46,56.64,67.36,301687,464010,8984.708,13907.63,33.58,33.36,243216,400783,1817.53,3303.2986,1204.27,2784.6,611.82,518.6986,133.82,121.33,91061,121484,3025.45,4119.4986,2291.425,3220.7956,734.025,898.703,30.1,29.49,301687,464010,1122.41,1274.67,268.79,364.02,102509,140732,1312.74,1977.92,763.88,1078.42,548.86,899.5,78.09,71.15,NA,NA,NA,187590,289680,2596.8,4460.52,2065.91,3743.02,530.89,717.5,72.24,64.94,191299,263169,1342.25,1937.0616,1252.25,1672.122,90,271.9396,142.52,135.86,4435.3994,4435.3994,15441.1935,15441.1935,2659.71,2659.71,7497.23,7497.23,1742.855,4953.44,1775.6894,7943.9635,1468.845,5132.195,94.1643030154957,76.6759518701001,168.385905086672,151.532692649585,105.19,110.75,89.66,227.38,24.455,27.625,206.61,87.625,9.5,9.75,14,21.75,449.415,484.88
"9",9,119570,92999,555.865,408.165,402.865,293.29,153,114.875,227.85,167633,90197,737.25,376.2432,601,280.0951,136.25,96.1481,227.38,239.73,451630,597440,8184.98,11612.06014,55.18,51.45,141784,213229,2357.705,3795.4,1902.68,2971.42,455.025,823.98,60.14,56.18,339881,457450,9411.975,15104.185,36.11,30.29,355050,474509,2887.55,3627.9154,1913.6,2726.4175,973.95,901.4979,122.96,130.79,96580,122931,3250.68,3946.3686,2483.125,3126.0609,767.555,820.3077,29.71,31.15,339881,457450,1125.33,1356.31,302.03,337.28,101329,147457,1204.575,1920.605,730.4,1030.17,474.175,890.435,84.12,76.78,NA,NA,NA,204263,333326,2678.815,4745.75,2200.365,4116.73,478.45,629.02,76.25,70.24,152385,442017,1309.5,3661.53294,1275,2979.12964,34.5,658.8758,116.37,120.72,4935.1395,4935.1395,17523.31314,17523.31314,2458.31,2458.31,8411.61,8411.61,1560.65,5236.31,2476.8295,9111.70314,1912.255,6272.725,100.112839600826,82.7186711461093,156.354220105045,131.808694079806,87.43,103.625,96.08,257.14,27.965,25,235.455,104.75,18.5,6.9322,23,34.4981,488.43,531.9453
"10",10,132619,100440,585.81,448.485,443.11,334.48,142.7,114.005,223.95,135436,159275,555.75,642.3236,479.75,464.3066,76,178.017,243.7,247.97,414610,735140,7046.51,14315.4593,58.84,51.35,162694,236702,2598.935,3975.49,2195.41,3360.79,403.525,614.7,62.6,59.54,351503,479258,9337.795,16728.49,37.64,28.65,325148,593890,2375.14,4900.5378,1640.96,4064.14,734.18,836.3978,136.9,121.19,89462,141250,2765.87,4607.4719,2222.85,3673.8724,543.02,933.5995,32.34,30.66,351503,479258,1154.42,1463.25,304.48,327.53,107604,152914,1257.29,2052.09,812.86,1391.21,444.43,660.88,85.58,74.52,NA,NA,NA,204896,363550,2542.79,5805.805,2186.015,5264.2,356.775,541.605,80.58,62.62,198298,513853,1349.75,4165.126,1253.75,3493.0336,96,574.2862,146.91,123.37,4453.4905,4453.4905,22046.0326,22046.0326,1931.19,1931.19,10350.68,10350.68,1347.43,5637.395,2522.3005,11695.3526,1449.2,5597.31,107.880521639072,74.1874777152962,175.142482288113,140.017692541176,83.12,90.88,91.48,244.37,25.625,32.25,205.25,140.75,18.75,7.5,26,24.5,450.225,540.25
