"Year","Week","Problem Solving","Total","Percentage"
2010,1,309.67,14920.87,2.08
2010,2,328.9,18915.16,1.74
2010,3,289.63,15859.71,1.83
2010,4,427.19,14732.59,2.9
2010,5,414.14,15809.87,2.62
2010,6,556.41,16316.2,3.41
2010,7,410.63,15466.91,2.65
2010,8,449.42,15587.19,2.88
2010,9,488.43,17596.96,2.78
2010,10,450.23,16384.31,2.75
2010,11,456.37,15991.98,2.85
2010,12,522.35,16721.71,3.12
2010,13,481.36,16620.51,2.9
2010,14,490.58,16470.86,2.98
2010,15,487.58,16821.98,2.9
2010,16,517.4,16977.84,3.05
2010,17,547.86,16426.11,3.34
2010,18,488.59,17514.53,2.79
2010,19,437.3,16029.29,2.73
2010,20,421.71,14778.19,2.85
2010,21,450.47,16222.68,2.78
2010,22,387.56,13152.53,2.95
2010,23,424.49,15254.42,2.78
2010,24,369.64,13618.13,2.71
2010,25,366.57,13517.35,2.71
2010,26,311.53,13166.72,2.37
2010,27,351.28,12937.94,2.72
2010,28,325.27,13812.04,2.35
2010,29,289.04,13777.97,2.1
2010,30,241.62,13420.25,1.8
2010,31,260.84,14916.78,1.75
2010,32,370.81,16232.2,2.28
2010,33,340.63,15309.1,2.23
2010,34,334.28,15851.16,2.11
2010,35,365.93,16322.13,2.24
2010,36,324.98,16675.2,1.95
2010,37,336.64,20082.14,1.68
2010,38,353.7,22798.57,1.55
2010,39,392.21,21787.75,1.8
2010,40,415.92,24691.37,1.68
2010,41,485.64,31432,1.55
2010,42,376.64,32591.71,1.16
2010,43,457.08,25983.47,1.76
2010,44,715.35,25059.28,2.85
2010,45,689.95,27580.91,2.5
2010,46,812.38,32103.99,2.53
2010,47,681.31,26880.27,2.53
2010,48,966.39,38073.83,2.54
2010,49,1134.51,52708.63,2.15
2010,50,1083.49,57619.5,1.88
2010,51,1179.25,42105.21,2.8
2010,52,605.63,26564.69,2.28
2011,1,411.57,22986.94,1.79
2011,2,510.82,25600.22,2
2011,3,466.38,21430.16,2.18
2011,4,404.04,19796,2.04
2011,5,426.4,19381.54,2.2
2011,6,365.5,20285.92,1.8
2011,7,417.87,22777.48,1.83
2011,8,484.88,23620.28,2.05
2011,9,531.95,26716.25,1.99
2011,10,540.25,31043.95,1.74
2011,11,595.46,32133.99,1.85
2011,12,674.23,33979.46,1.98
2011,13,745.17,31553.79,2.36
2011,14,728.36,35750.91,2.04
2011,15,670.47,37394.84,1.79
2011,16,805.63,35734.02,2.25
2011,17,775.07,32156.59,2.41
2011,18,827.56,33060.26,2.5
2011,19,832.49,34212.83,2.43
2011,20,664,32904.65,2.02
2011,21,873.39,36287.07,2.41
2011,22,857.88,30947.35,2.77
2011,23,930.21,34358.03,2.71
2011,24,796.87,35760.42,2.23
2011,25,757.75,35297.67,2.15
2011,26,814.38,34850.01,2.34
2011,27,837.83,34109.94,2.46
2011,28,974.38,32894.52,2.96
2011,29,1099.5,35887.17,3.06
2011,30,983.75,33372.04,2.95
2011,31,921.23,36617.55,2.52
2011,32,953.95,38552.72,2.47
2011,33,837.96,35458.34,2.36
2011,34,835.65,38503.09,2.17
2011,35,813.5,37706.61,2.16
2011,36,858.29,38928.11,2.2
2011,37,765.77,34740.22,2.2
2011,38,2774.5,43386.2,6.39
2011,39,4138.25,61280.59,6.75
2011,40,4121.88,71526.93,5.76
2011,41,3815.38,75576.94,5.05
2011,42,3718.88,80769.8,4.6
2011,43,3192.4,83719.81,3.81
2011,44,3644.98,79275.09,4.6
2011,45,3377.75,78783.37,4.29
2011,46,2779.91,89088.8,3.12
2011,47,3008.63,95411.75,3.15
2011,48,3558.75,100222.2,3.55
2011,49,2973.75,93980.27,3.16
2011,50,2775.2,89531.63,3.1
2011,51,2548.5,76334.58,3.34
2011,52,1707.5,39458,4.33
