"Item","Cost"
"DF Cabinets (19u) w/fan",3603
"IDF UPS 1500va",2632
"UPS env monitoring",632
"IDF switches 48 port",128414
"GBICs & 1 3m stack cable",11785
"Wireless Survey",5304
"Access Points",142373
"Local Servers-CDW",17630
"UPS For Intelligrated",20675
"GEFC CDW Servers",10528
"Fiber to PHS",4600
"AP ID Plates",5682
"SLAM Cards",4017
"System Logistics",24000
"ICW Virtual Sorters",95693
"ICW SLAM Area",42293
"Singulate Trays",36822
"Singulate Manual Stations",52655
"Modification of Singulation ",479278
"Modification of SLAM ",394411
"Total",1483027
