"Year","Week in year","Units","Hours","Rate","Direct Hours","Indirect Hours"
2010,1,77643,387.9599,200.13,282.7399,105.22
2010,2,94087,479.175,196.35,326.55,152.625
2010,3,94114,482.97,194.87,332.935,150.035
2010,4,92335,432.21,213.63,297.35,134.86
2010,5,102686,488.82,210.07,350.64,138.18
2010,6,103082,541.395,190.4,367.945,173.45
2010,7,100149,513.1,195.18,354.98,158.12
2010,8,103397,493.405,209.56,344.68,148.725
2010,9,119570,555.865,215.11,402.865,153
2010,10,132619,585.81,226.39,443.11,142.7
2010,11,127037,579.6303,219.17,419.2053,160.425
2010,12,139224,643.28,216.43,483.88,159.4
2010,13,130878,582.2078,224.8,434.9278,147.28
2010,14,133569,604.545,220.94,465.65,138.895
2010,15,136307,605.095,225.27,449.36,155.735
2010,16,133782,658.79,203.07,484.83,173.96
2010,17,130795,653.3868,200.18,494.8118,158.575
2010,18,145438,644.8,225.56,478.28,166.52
2010,19,128062,584.6029,219.06,436.1035,148.4994
2010,20,125710,554.4314,226.74,415.432,138.9994
2010,21,147689,644.2375,229.25,487.8275,156.41
2010,22,118368,556.4249,212.73,391.1858,165.2391
2010,23,123292,582.0826,211.81,435.1376,146.945
2010,24,122651,557.5564,219.98,409.6846,147.8718
2010,25,122627,571.2199,214.68,433.5969,137.623
2010,26,117397,550.59,213.22,428.57,122.02
2010,27,111644,508.5106,219.55,366.8006,141.71
2010,28,111582,555.185,200.98,395.58,159.605
2010,29,107623,502.84,214.03,376.15,126.69
2010,30,102585,512.46,200.18,379.41,133.05
2010,31,105748,515.2589,205.23,383.0789,132.18
2010,32,109326,542.4517,201.54,411.1167,131.335
2010,33,112261,532.235,210.92,394.24,137.995
2010,34,115356,517.825,222.77,391.56,126.265
2010,35,109634,526.47,208.24,400.24,126.23
2010,36,105046,495.71,211.91,366.56,129.15
2010,37,115615,555.465,208.14,416.27,139.195
2010,38,115781,571.09,202.74,418.31,152.78
2010,39,102922,498.01,206.67,377.46,120.55
2010,40,95020,502.12,189.24,361.2,140.92
2010,41,97683,551.16,177.23,396.83,154.33
2010,42,86636,467.64,185.26,339.95,127.69
2010,43,87947,509.165,172.73,337.92,171.245
2010,44,87688,545.425,160.77,365.61,179.815
2010,45,97567,515.125,189.4,357.18,157.945
2010,46,96981,536.205,180.87,399.33,136.875
2010,47,105400,551.645,191.06,416.56,135.085
2010,48,135771,792.35,171.35,597.25,195.1
2010,49,119647,845.69,141.48,641.69,204
2010,50,125190,914.75,136.86,716.5,198.25
2010,51,67363,698.75,96.41,533,165.75
2010,52,67238,415.775,161.72,308.65,107.125
2010,53,8991,48.5,185.38,30.5,18
2011,1,62929,331.9,189.6,238.41,93.49
2011,2,79204,376.845,210.18,267.4,109.445
2011,3,71567,343.3125,208.46,247.6875,95.625
2011,4,68159,320.505,212.66,225.63,94.875
2011,5,75344,338.67,222.47,254.865,83.805
2011,6,86200,389.885,221.09,309.76,80.125
2011,7,86881,401.5,216.39,289.625,111.875
2011,8,84126,414.62,202.9,289.37,125.25
2011,9,92999,408.165,227.85,293.29,114.875
2011,10,100440,448.485,223.95,334.48,114.005
2011,11,103978,417.405,249.11,351.42,65.985
2011,12,112521,476.805,235.99,407.27,69.535
2011,13,118711,527.335,225.11,421.345,105.99
2011,14,115448,514.635,224.33,427.59,87.045
2011,15,116068,505.19,229.75,409.815,95.375
2011,16,115598,545.665,211.85,443.16,102.505
2011,17,116926,537.665,217.47,438.78,98.885
2011,18,120132,516.425,232.62,424.92,91.505
2011,19,122731,508.4,241.41,434.65,73.75
2011,20,108447,474.4,228.6,389.08,85.32
2011,21,121237,501.715,241.65,427.09,74.625
2011,22,98969,428.59,230.92,371.93,56.66
2011,23,109810,440,249.57,389.34,50.66
2011,24,111498,521.25,213.91,403.25,118
2011,25,115148,515.58,223.34,413.08,102.5
2011,26,99309,406.545,244.28,361.92,44.625
2011,27,96975,425.83,227.73,354.08,71.75
2011,28,98410,400.695,245.6,357.82,42.875
2011,29,101225,401.25,252.27,372.75,28.5
2011,30,96256,389.34,247.23,339.09,50.25
2011,31,98007,391.75,250.18,343.5,48.25
2011,32,102110,427.82,238.68,365.57,62.25
2011,33,98503,400.09,246.2,345.84,54.25
2011,34,100065,415.92,240.59,353.92,62
2011,35,107069,429.75,249.14,364.75,65
2011,36,114546,462.64,247.59,391.14,71.5
2011,37,81969,344.59,237.87,318.09,26.5
2011,38,76665,558.5,137.27,441.5,117
2011,39,104739,582,179.96,590,116.25
2011,40,70817,491,144.23,777.7,215.42
2011,41,62741,474.08,132.34,746.41,278.83
2011,42,65377,466.25,140.22,680.95,252.94
2011,43,74013,438.33,168.85,697.83,249.665
2011,44,80784,478.045,168.99,757.78,265.69
2011,45,94142,629.785,149.48,856.84,288.07
2011,46,106595,820.92,129.85,976.25,380.875
2011,47,110127,726.75,151.53,1031.06,247.335
2011,48,147616,916.5,161.06,808.5,108
2011,49,142940,752.35,189.99,720.6,31.75
2011,50,146823,768.3,191.1,725.55,42.75
2011,51,124674,681.5,182.94,632.75,48.75
2011,52,106978,472.23,226.54,445.23,27
