"Year","Week in year","Units","Hours","Rate","Direct Hours","Indirect Hours"
2010,1,96780,1600.872,60.45,1274.26,326.612
2010,2,108720,1788.487,60.79,1429.39,359.097
2010,3,109773,1881.933,58.33,1446.425,435.508
2010,4,107123,1762.845,60.77,1405.37,357.475
2010,5,127680,2175.769,58.68,1708.7,467.069
2010,6,125338,2141.656,58.52,1689.87,451.786
2010,7,120417,2191.713,54.94,1616.1,575.613
2010,8,129904,2293.35,56.64,1778.97,514.38
2010,9,141784,2357.705,60.14,1902.68,455.025
2010,10,162694,2598.935,62.6,2195.41,403.525
2010,11,171513,2637.439,65.03,2135.36,502.079
2010,12,190772,2807.41,67.95,2333.36,474.05
2010,13,171132,2559.3,66.87,2083.47,475.83
2010,14,171761,2521.585,68.12,2063.99,457.595
2010,15,174211,2492.645,69.89,1914.55,578.095
2010,16,169354,2523.17,67.12,1948.73,574.44
2010,17,162163,2323.89,69.78,1788.42,535.47
2010,18,170700,2544.88,67.08,1936.6,608.28
2010,19,158827,2345.91,67.7,1882.21,463.7
2010,20,143053,2127.18,67.25,1653.17,474.01
2010,21,171432,2512.85,68.22,1964.23,548.62
2010,22,157875,2139.85,73.78,1670.27,469.58
2010,23,154768,2245.72,68.92,1750.04,495.68
2010,24,144116,2097.46,68.71,1648.5,448.96
2010,25,135544,2003.69,67.65,1554.38,449.31
2010,26,126416,1859.91,67.97,1420.48,439.43
2010,27,117157,1710.35,68.5,1310.76,399.59
2010,28,121683,1892.34,64.3,1382.28,510.06
2010,29,126641,1753.35,72.23,1346.45,406.9
2010,30,123735,1809.715,68.37,1383.53,426.185
2010,31,139061,2002.15,69.46,1619.77,382.38
2010,32,147457,2077.04,70.99,1674.99,402.05
2010,33,157229,2222.33,70.75,1852.59,369.74
2010,34,162668,2315.07,70.26,1859.79,455.28
2010,35,155405,2363.96,65.74,1879.87,484.09
2010,36,146931,2148.21,68.4,1666.99,481.22
2010,37,156906,2518.22,62.31,1855.09,663.13
2010,38,158954,2475.93,64.2,1866.02,609.91
2010,39,166065,2728.39,60.87,1820.07,908.32
2010,40,167262,3403.02,49.15,2655.45,747.57
2010,41,156863,3123.7,50.22,2545.94,577.76
2010,42,174121,3290.81,52.91,2415.84,874.97
2010,43,168524,3254.24,51.79,2599.52,654.72
2010,44,163216,3964.24,41.17,3230.74,761.5
2010,45,171271,4174.1,41.03,2771.74,1402.36
2010,46,218931,4773.13,45.87,3254.72,1518.41
2010,47,189301,5152.29,36.74,3708.31,1443.98
2010,48,255641,7420.808,34.45,4965.99,2454.818
2010,49,263390,10107.76,26.06,6632.02,3475.74
2010,50,289076,9826.24,29.42,7791.66,2034.58
2010,51,182621,7210.03,25.33,5410.41,1799.62
2010,52,155819,3611.06,43.15,2759.39,851.67
2010,53,18842,310.75,60.63,245,65.75
2011,1,123089,2304.08,53.42,1731.23,572.85
2011,2,156539,2904.94,53.89,2188.32,716.62
2011,3,154436,2820.575,54.75,2079.08,741.495
2011,4,146079,2761.26,52.9,2095.06,666.2
2011,5,144678,2624.06,55.14,1920.37,703.69
2011,6,147887,2454.81,60.24,1897.23,557.58
2011,7,176346,2920.27,60.39,2352.65,567.62
2011,8,222559,3303.88,67.36,2386.42,917.46
2011,9,213229,3795.4,56.18,2971.42,823.98
2011,10,236702,3975.49,59.54,3360.79,614.7
2011,11,245742,3970.82,61.89,3300.57,670.25
2011,12,271697,4282.8,63.44,3554.9,727.9
2011,13,262878,4258.52,61.73,3529.25,729.27
2011,14,286681,4453.96,64.37,3676.65,777.31
2011,15,292088,4677.11,62.45,3388.49,1288.62
2011,16,292308,4893.7,59.73,4063.58,830.12
2011,17,287451,4593.44,62.58,3857.67,735.77
2011,18,303066,4695.79,64.54,3975.7,720.09
2011,19,318743,5054.84,63.06,4257.2,797.64
2011,20,285282,4789.71,59.56,3944.21,845.5
2011,21,335331,5599.52,59.89,4555.65,1043.87
2011,22,286110,4763.055,60.07,3971.69,791.365
2011,23,330679,5287.65,62.54,4432.65,855
2011,24,297729,5071.76,58.7,4153.54,918.22
2011,25,290860,4990.13,58.29,4047.17,942.96
2011,26,260262,4548.08,57.22,3707.98,840.1
2011,27,239929,4310.82,55.66,3562.66,748.16
2011,28,252095,4229.05,59.61,3318.73,910.32
2011,29,266871,4446.6,60.02,3756.48,690.12
2011,30,253614,4496.29,56.41,3621.03,875.26
2011,31,262830,4481.07,58.65,3488.12,992.95
2011,32,263407,4493.305,58.62,3559.48,933.825
2011,33,278185,4557,61.05,3743.8,813.2
2011,34,268476,4778.06,56.19,3915.99,862.07
2011,35,268961,5042.73,53.34,4004.92,1037.81
2011,36,294528,5494.06,53.61,4447.72,1046.34
2011,37,198474,4265.24,46.53,3092.02,1173.22
2011,38,183896,8711.25,21.11,5953.75,2757.5
2011,39,310264,16981.02,18.27,9856.42,7774.01
2011,40,315316,14241.375,22.14,11698.2,5480.195
2011,41,317909,11296,28.14,9095.69,5058.01
2011,42,309409,11161.91,27.72,9194.25,4938.97
2011,43,319177,12016.4,26.56,10516.27,4592.37
2011,44,326704,12336.08,26.48,11124.07,4885.25
2011,45,365749,13131.5,27.85,11895.74,5236.86
2011,46,390954,16015.74,24.41,14551.71,6007.66
2011,47,428769,19512.23,21.97,17950.81,6516.23
2011,48,513071,20415.75,25.13,14262.75,5978
2011,49,510287,18088,28.21,13253.75,4834.25
2011,50,553565,18318.15,30.22,13082.2,5235.95
2011,51,489239,16558.33,29.55,11967.33,4591
2011,52,341560,9967.75,34.27,7287,2689.75
