"Year","Week in year","Units","Hours","Rate","Direct Hours","Indirect Hours"
2010,1,241091,1678.25,143.66,1167.44,510.81
2010,2,300810,2238.27,134.39,1593.73,644.54
2010,3,241612,1860.1,129.89,1364.27,495.83
2010,4,227793,1806.48,126.1,1270.29,536.19
2010,5,262811,1878.05,139.94,1303.2,574.85
2010,6,263868,1948.44,135.43,1377.33,571.11
2010,7,241519,1674.99,144.19,1194.51,480.48
2010,8,243216,1817.53,133.82,1204.27,611.82
2010,9,355050,2887.55,122.96,1913.6,973.95
2010,10,325148,2375.14,136.9,1640.96,734.18
2010,11,320838,2342.24,136.98,1668.62,673.62
2010,12,228879,1730.373,132.27,1145.16,585.213
2010,13,327474,2539.0968,128.97,1767.6939,771.4029
2010,14,367030,2451.1677,149.74,1750.39,700.7777
2010,15,278467,2252.21,123.64,1498.21,754
2010,16,252403,2143.94,117.73,1399.94,744
2010,17,247098,2144.85,115.21,1342.01,802.84
2010,18,326002,2699.6394,120.76,1717.1944,982.445
2010,19,262870,2004.35,131.15,1312.5,691.85
2010,20,207103,1467.73,141.1,969.44,498.29
2010,21,200429,1590.09,126.05,997.8,592.29
2010,22,144286,1012.97,142.44,647.3,365.67
2010,23,225613,1553.4,145.24,1091.55,461.85
2010,24,130014,925.05,140.55,626.42,298.63
2010,25,183277,1181.53,155.12,818.85,362.68
2010,26,164247,1184.75,138.63,788.19,396.56
2010,27,253581,1746.61,145.18,1203.98,542.63
2010,28,216573,1641.03,131.97,1032.95,608.08
2010,29,220576,1527.657,144.39,1017.38,510.277
2010,30,220521,1528.87,144.24,1055.07,473.8
2010,31,283032,2167.3111,130.59,1532.138,635.1731
2010,32,266848,2158.96,123.6,1505.34,653.62
2010,33,190199,1339.1998,142.02,899.3873,439.8125
2010,34,226398,1695.45,133.53,1160.57,534.88
2010,35,230655,1912.74,120.59,1358.62,554.12
2010,36,280202,2240.5864,125.06,1530.4964,710.09
2010,37,279157,2862.6537,97.52,1950.9054,911.7483
2010,38,343215,3549.16,96.7,2432.12,1117.04
2010,39,314290,3059.91,102.71,2179.21,880.7
2010,40,300534,3287.555,91.42,2226.05,1061.505
2010,41,494135,5322.61,92.84,3851.36,1471.25
2010,42,552960,5750.75,96.15,4354.5,1396.25
2010,43,239721,1980.78,121.02,1570.05,410.73
2010,44,260396,1924.07,135.34,1511.38,412.69
2010,45,380673,3013.63,126.32,2499.15,514.48
2010,46,379612,3005.8728,126.29,2384.3077,621.5651
2010,47,152979,1056.3827,144.81,797.338,259.0447
2010,48,242125,1860.39,130.15,1363.155,497.235
2010,49,255927,1687.12,151.69,1273.03,414.09
2010,50,143210,932.5202,153.57,649.8275,282.6927
2010,51,61009,389.88,156.48,301,88.88
2010,52,96671,635,152.24,470.5,164.5
2010,53,14991,73.75,203.27,,
2011,1,254857,1594.49,159.84,1154.03,440.46
2011,2,342660,2335.7016,146.71,1554.0097,781.6919
2011,3,295647,1883.69,156.95,1350.73,532.96
