"Week","Hours","Direct Hours","Direct x .455","Direct x .365"
38,5882.25,3346.15,4868.65,4567.49
39,4790.25,2852.5,4150.39,3893.66
40,11178.2,7147.85,10400.12,9756.82
41,15939.7,10076.55,14661.38,13754.49
42,15584.1,9847.65,14328.33,13442.04
43,15037.45,9312.5,13549.69,12711.56
44,12786.6,7873.85,11456.45,10747.81
45,9908.61,6119.78,8904.28,8353.50
46,9218.9,5771.4,8397.39,7877.96
47,5419.25,3141.85,4571.39,4288.63
48,5294.6,3178.75,4625.08,4338.99
49,4913.45,3059.75,4451.94,4176.56
50,2860.45,1668.2,2427.23,2277.09
51,1926.55,1183.8,1722.43,1615.89
52,2247.1,1437.47,2091.52,1962.15
"total",122987.46,76018.05,110606.26275,103764.63825
