"Year","Week in year","Units","Hours","Rate","Direct Hours","Indirect Hours"
2010,1,109372,4197.5,26.06,3140.805,1056.695
2010,2,149330,5818.82,25.66,3926.435,1892.385
2010,3,105176,3805.5,27.64,2719.37,1086.13
2010,4,88637,2981.99,29.72,2379.03,602.96
2010,5,92555,2969.17,31.17,2416.02,553.15
2010,6,78578,2551.13,30.8,2072.55,478.58
2010,7,83236,2632.99,31.61,2133.07,499.92
2010,8,91061,3025.45,30.1,2291.425,734.025
2010,9,96580,3250.68,29.71,2483.125,767.555
2010,10,89462,2765.87,32.34,2222.85,543.02
2010,11,98771,3068.63,32.19,2466.115,602.515
2010,12,116366,3449.96,33.73,2710.02,739.94
2010,13,109334,3352.267,32.61,2661.17,691.097
2010,14,111482,3363.67,33.14,2679.64,684.03
2010,15,116835,3725.023,31.36,2711.155,1013.868
2010,16,125318,3819.7,32.81,3095.705,723.995
2010,17,115472,3402.94,33.93,2726.51,676.43
2010,18,115011,3658.083,31.44,2882.58,775.503
2010,19,116031,3683.59,31.5,2956.67,726.92
2010,20,116363,3786.01,30.73,2975.19,810.82
2010,21,121077,3940.2,30.73,3003.91,936.29
2010,22,99522,3161.034,31.48,2473.2,687.834
2010,23,132125,4064.88,32.5,3200.94,863.94
2010,24,119991,3748.843,32.01,2987.4,761.443
2010,25,119736,3536.62,33.86,2818.13,718.49
2010,26,113480,3450.86,32.88,2740.52,710.34
2010,27,84223,2697.81,31.22,2087.92,609.89
2010,28,99198,3277.81,30.26,2498.63,779.18
2010,29,118347,3694.41,32.03,2879.28,815.13
2010,30,104464,3231.716,32.32,2520.327,682.58
2010,31,101332,3206.78,31.6,2536.364,670.416
2010,32,102977,3356.29,30.68,2605.01,751.28
2010,33,111131,3461.308,32.11,2775.147,686.161
2010,34,104796,3375.7,31.04,2639.8,735.9
2010,35,105028,3471.841,30.25,2694.99,776.851
2010,36,106943,3650.181,29.3,2821.773,828.408
2010,37,120441,4294.1099,28.05,3326.2719,962.188
2010,38,131713,4578.692,28.77,3542.186,1036.506
2010,39,121746,4134.494,29.45,3285.779,848.765
2010,40,113659,4260.43,26.68,3218.195,1042.235
2010,41,142954,5216.683,27.4,4078.753,1137.93
2010,42,120557,4215.556,28.6,3320.12,895.436
2010,43,140551,5319.01,26.42,4168.24,1150.77
2010,44,129340,4657.926,27.77,3707.21,950.716
2010,45,132418,4566.778,29,3599.93,966.848
2010,46,139176,4838.65,28.76,3915.09,923.56
2010,47,107252,3625.09,29.59,2954.84,670.25
2010,48,145149,5098.99,28.47,4126.56,972.43
2010,49,178101,7127.94,24.99,5572.04,1555.9
2010,50,152209,6094.7,24.97,4818.9,1275.8
2010,51,128072,5018.55,25.52,4073.25,945.3
2010,52,143450,6407.461,22.39,4965.35,1442.111
2010,53,,,,,
2011,1,187730,8403.79,22.34,6677.21,1726.58
2011,2,173342,7020.133,24.69,5548.9523,1471.1807
2011,3,142451,5374.6603,26.5,4316.2006,1058.4597
2011,4,135844,5145.1329,26.4,4118.2858,1026.8471
2011,5,109625,3928.8926,27.9,3073.3364,855.5562
2011,6,125406,4525.7025,27.71,3540.6464,985.0561
2011,7,134500,4909.01855,27.4,3730.9794,1178.03915
2011,8,121484,4119.4986,29.49,3220.7956,898.703
2011,9,122931,3946.3686,31.15,3126.0609,820.3077
2011,10,141250,4607.4719,30.66,3673.8724,933.5995
2011,11,128386,4106.2073,31.27,3232.7966,873.4107
2011,12,150826,5259.0777,28.68,4129.5188,1129.5589
2011,13,157485,5424.4556,29.03,4343.6705,1080.7851
2011,14,160204,5422.7131,29.54,4310.6667,1112.0464
2011,15,161123,5345.0566,30.14,4255.4165,1089.6401
2011,16,166739,5970.3618,27.93,4621.3846,1348.9772
2011,17,168716,5657.0454,29.82,4507.3609,1149.6845
2011,18,168356,5352.0305,31.46,4299.0979,1052.9326
2011,19,158671,5184.33484,30.61,4168.14954,1016.1853
2011,20,164311,5368.71361,30.61,4216.452,1152.26161
2011,21,183021,5996.1126,30.52,4735.8654,1260.2472
2011,22,148599,5017.1964,29.62,3899.02,1118.1764
2011,23,179059,6030.603,29.69,4514.4627,1516.1403
2011,24,176576,6191.2161,28.52,4589.5333,1601.6828
2011,25,191627,6819.787,28.1,5140.179,1679.608
2011,26,162191,5689.661,28.51,4266.1236,1423.5374
2011,27,151006,6229.9857,24.24,4119.3839,2110.6018
2011,28,153709,6906.8316,22.25,3828.5809,3078.2507
2011,29,172856,8078.3934,21.4,4741.4827,3336.9107
2011,30,155850,7217.248,21.59,4307.1139,2910.1341
2011,31,145726,6692.4682,21.77,3833.0066,2859.4616
2011,32,144288,6412.0883,22.5,3696.9249,2715.1634
2011,33,124456,6435.4164,19.34,3358.8133,3081.3731
2011,34,164015,8375.2161,19.58,4636.3645,3738.8516
2011,35,154417,7345.73,21.02,4029.53,3316.2
2011,36,122882,5640.8761,21.78,3242.4761,2398.4
2011,37,119929,6209.3834,19.31,3332.78,2876.6034
2011,38,120584,6494.5981,18.57,3903.72,2590.8781
2011,39,91524,5299.55,17.27,3095.34,2204.21
2011,40,122742,9295.04,13.21,5256.53,4038.51
2011,41,165565,12703.66,13.03,8129.82,4573.84
2011,42,203335,15202.5298,13.38,10307.3778,4895.152
