"Year","Week in year","Units","Hours","Rate"
2010,1,267089,944.905,282.66
2010,2,310528,1107.4,280.41
2010,3,294889,1101.03,267.83
2010,4,282643,1059.79,266.7
2010,5,313759,1119.51,280.26
2010,6,329652,1209.99,272.44
2010,7,300543,1171.945,256.45
2010,8,301687,1122.41,268.79
2010,9,339881,1125.33,302.03
2010,10,351503,1154.42,304.48
2010,11,345751,1081.33,319.75
2010,12,371694,1224.73,303.49
2010,13,331647,1084.49,305.81
2010,14,329688,1169.94,281.8
2010,15,333100,1109.02,300.36
2010,16,328230,1170.51,280.42
2010,17,310454,1055.5,294.13
2010,18,334464,1101.5,303.64
2010,19,303909,1094.61,277.64
2010,20,288630,1025.5,281.45
2010,21,331794,1169.02,283.82
2010,22,289565,1070.48,270.5
2010,23,297403,1071.89,277.46
2010,24,288375,1055.54,273.2
2010,25,277731,1014.07,273.88
2010,26,263569,979.52,269.08
2010,27,252452,927.855,272.08
2010,28,253343,963.46,262.95
2010,29,256620,952.1,269.53
2010,30,251516,952.39,264.09
2010,31,278765,1049.7,265.57
2010,32,310105,1139.99,272.02
2010,33,322207,1114.66,289.06
2010,34,331622,1135.23,292.12
2010,35,320565,1095.87,292.52
2010,36,301022,1152.045,261.29
2010,37,324281,1621.17,200.03
2010,38,344831,1700.12,202.83
2010,39,333479,1367.87,243.79
2010,40,342485,1630.75,210.02
2010,41,372735,1795.3,207.62
2010,42,357903,2143.25,166.99
2010,43,349989,1768.33,197.92
2010,44,346003,1635.25,211.59
2010,45,384670,1542.71,249.35
2010,46,422787,1907.3,221.67
2010,47,429061,1856.58,231.1
2010,48,602780,2618.25,230.22
2010,49,606260,3565.33,170.04
2010,50,757815,5629.25,134.62
2010,51,436341,3786.08,115.25
2010,52,461579,2074.58,222.49
2010,53,41096,164,250.59
2011,1,296566,1122.17,264.28
2011,2,393488,1522,258.53
2011,3,350884,1256.84,279.18
2011,4,351139,1215.41,288.91
2011,5,357220,1300.83,274.61
2011,6,366120,1227.42,298.28
2011,7,399236,1241.75,321.51
2011,8,464010,1274.67,364.02
2011,9,457450,1356.31,337.28
2011,10,479258,1463.25,327.53
2011,11,502387,1430.12,351.29
2011,12,546554,1515.08,360.74
2011,13,546435,1500.17,364.25
2011,14,552125,1666.47,331.31
2011,15,553534,1654.16,334.63
2011,16,553807,1729.6,320.19
2011,17,549414,1649.67,333.04
2011,18,578607,1650.1,350.65
2011,19,592082,1723.83,343.47
2011,20,533253,1597.42,333.82
2011,21,618727,1851.9,334.1
2011,22,533464,1571.16,339.54
2011,23,608691,1774.41,343.04
2011,24,582481,1854,314.18
2011,25,548650,1603.75,342.1
2011,26,497502,1530.42,325.08
2011,27,444132,1350.33,328.91
2011,28,475893,1315.08,361.87
2011,29,539530,1490.91,361.88
2011,30,500475,1468.33,340.85
2011,31,509047,1557.5,326.84
2011,32,551409,2032.33,271.32
2011,33,535811,1990.83,269.14
2011,34,523339,1942.34,269.44
2011,35,524460,1933.75,271.21
2011,36,568408,3315.26,171.45
2011,37,413682,2484.75,166.49
2011,38,359678,2607,137.97
2011,39,657644,4599.25,142.99
2011,40,585964,3470.25,168.85
2011,41,524854,2910.66,180.32
2011,42,549650,2957.5,185.85
2011,43,568686,2982.75,190.66
2011,44,583105,3076.95,189.51
2011,45,652223,3267.75,199.59
2011,46,675272,3951.25,170.9
2011,47,748538,4834.25,154.84
2011,48,977676,5711.5,171.18
2011,49,1008144,5450.7,184.96
2011,50,1071102,5750.25,186.27
2011,51,917690,5047.75,181.8
2011,52,640119,3419.75,187.18
