"Year","Week in year","Units","Hours","Rate","Direct Hours","Indirect Hours"
2010,1,168035,2125.9322,79.04,1806.8542,319.078
2010,2,192040,2498.185,76.87,2175.99,322.195
2010,3,179611,2312.72,77.66,1991.58,321.14
2010,4,180919,2418.15,74.82,2007.95,410.2
2010,5,202696,2711.82,74.75,2340.92,370.9
2010,6,220360,3239.465,68.02,2647.455,592.01
2010,7,190674,2838.83,67.17,2274.65,564.18
2010,8,187590,2596.8,72.24,2065.91,530.89
2010,9,204263,2678.815,76.25,2200.365,478.45
2010,10,204896,2542.79,80.58,2186.015,356.775
2010,11,195523,2304.9543,84.83,1958.3124,346.6419
2010,12,232456,2807.4906,82.8,2316.48,491.0106
2010,13,200970,2287.568,87.85,1895.695,391.873
2010,14,207666,2243.205,92.58,1885.6,357.605
2010,15,203864,2305.7589,88.42,1852.89,452.8689
2010,16,200842,2383.67,84.26,1940.57,443.1
2010,17,188206,2473.1047,76.1,2005.1861,467.9186
2010,18,196903,2326.29,84.64,1851.69,474.6
2010,19,179844,2146.511,83.78,1794.6063,351.9047
2010,20,169796,2054.9172,82.63,1716.3634,338.5538
2010,21,189839,2324.7906,81.66,1925.51,399.2806
2010,22,170747,2032.6637,84,1675.1568,357.5069
2010,23,172166,2034.8229,84.61,1668.3075,366.5154
2010,24,164510,2048.2817,80.32,1707.2033,341.0784
2010,25,155849,1914.7191,81.4,1549.6059,365.1132
2010,26,145600,1851.78,78.63,1575.07,276.71
2010,27,143433,1735.0054,82.67,1408.1143,326.8911
2010,28,140044,1867.435,74.99,1430.27,437.165
2010,29,148121,1844.8906,80.29,1535.6794,309.2112
2010,30,145606,1908.3095,76.3,1613.32,294.9895
2010,31,173035,1945.4507,88.94,1702.347,243.1037
2010,32,203307,2322.545,87.54,1920.19,402.355
2010,33,210044,2416.815,86.91,2029.51,387.305
2010,34,213206,2484.705,85.81,2107.61,377.095
2010,35,208705,2493.5206,83.7,2086.095,407.4256
2010,36,197113,2315.81,85.12,1893.15,422.66
2010,37,207515,2539.105,81.73,2026.06,513.045
2010,38,224823,2991.3,75.16,2407.59,583.71
2010,39,229675,3003.075,76.48,2510.69,492.385
2010,40,241863,3419.49,70.73,3044.07,375.42
2010,41,273456,4278.88,63.91,3510.44,768.44
2010,42,269894,4539.41,59.46,3654.01,885.4
2010,43,261131,4586.915,56.93,3748.13,838.785
2010,44,258144,4564.085,56.56,3997.71,566.375
2010,45,286361,4735.765,60.47,3976.18,759.585
2010,46,322975,6081.64,53.11,4878.14,1203.5
2010,47,294688,6445.245,45.72,5365.41,1079.835
2010,48,403840,8603.3,46.94,6959.725,1643.575
2010,49,447897,13170,34.01,10224.59,2945.41
2010,50,578736,16044.42,36.07,13361.42,2683
2010,51,298081,11912.03,25.02,10342.28,1569.75
2010,52,284868,5424.205,52.52,4950.08,474.125
2010,53,31604,459,68.85,404,55
2011,1,206120,3255.065,63.32,2811.41,443.655
2011,2,283501,3704.28,76.53,3272.16,432.12
2011,3,245687,3140.4825,78.23,2774.2325,366.25
2011,4,251248,3082.16,81.52,2757.46,324.7
2011,5,243086,3044.165,79.85,2694.2,349.965
2011,6,239166,3007.01,79.54,2740.51,266.5
2011,7,261305,3758.535,69.52,3319.99,438.545
2011,8,289680,4460.52,64.94,3743.02,717.5
2011,9,333326,4745.75,70.24,4116.73,629.02
2011,10,363550,5805.805,62.62,5264.2,541.605
2011,11,399740,6505.055,61.45,6051.88,453.175
2011,12,436430,6542.655,66.71,5981.63,561.025
2011,13,426144,6611.659,64.45,5903.21,708.449
2011,14,437194,6468.014,67.59,7780.56,756.374
2011,15,437297,6976.995,62.68,5532.7,1072.175
2011,16,438254,7672.195,57.12,6333.45,1338.745
2011,17,436709,6889.465,63.39,5849.155,1040.31
2011,18,458701,6982.22,65.7,6219.76,762.46
2011,19,471402,7108.15,66.32,6274.56,833.59
2011,20,426856,6848.96,62.32,6230.4,618.56
2011,21,504258,8642.59,58.35,7471.07,1171.52
2011,22,432206,7213.745,59.91,6126.55,1087.195
2011,23,497904,7698.985,64.67,6537.325,1161.66
2011,24,470183,8667.46,54.25,7275.96,1391.5
2011,25,435960,9113.4,47.84,7117.65,1995.75
2011,26,397382,8962.97,44.34,6516.18,2446.79
2011,27,357215,8351.32,42.77,6574.83,1776.49
2011,28,392349,7499.895,52.31,6440.52,1059.375
2011,29,436687,8886.035,49.14,7455.16,1430.875
2011,30,405856,7837.6,51.78,6395.26,1442.34
2011,31,404895,8013.74,50.53,6508.91,1504.83
2011,32,445135,8602.48,51.74,6874.16,1728.32
2011,33,433044,8127.95,53.28,6905.95,1222
2011,34,415992,8270.53,50.3,6780.89,1489.64
2011,35,416435,7484.035,55.64,5960.575,1523.46
2011,36,444991,8169.99,54.47,6584.29,1585.7
2011,37,316884,6603.835,47.98,5399.665,1204.17
2011,38,312394,8426.25,37.07,7303.25,1123
2011,39,471045,12097.1,38.94,9835.85,3058.5
2011,40,512272,12409,41.28,10666,1743
2011,41,451348,9852.59,45.81,8616.09,1236.5
2011,42,481410,10010.82,48.09,8395.07,1615.75
2011,43,489276,10746.43,45.53,9092.01,1654.42
2011,44,492893,12392.5,39.77,10246.99,2145.51
2011,45,559370,16637.17,33.62,12721.67,3915.5
2011,46,548128,22321.99,24.56,17453.33,4868.66
2011,47,614107,35778,17.16,26335,9443
2011,48,833100,30867.75,26.99,24216.5,6651.25
2011,49,881188,27536.5,32,23748.22,3788.28
2011,50,920657,27185.74,33.87,23210,3975.74
2011,51,786677,22214.25,35.41,19172.25,3042
2011,52,543761,11746.59,46.29,10607.34,1139.25
