"Year","Week in year","Units","Hours","Rate","Direct Hours","Indirect Hours"
2010,1,196566,1259,156.13,1259,0
2010,2,285734,1740.75,164.14,1740.75,0
2010,3,238211,1455,163.72,1455,0
2010,4,210177,1352.25,155.43,1352.25,0
2010,5,228670,1354.5,168.82,1354.5,0
2010,6,211849,1332.5,158.99,1332.5,0
2010,7,202533,1348.5,150.19,1343,5.5
2010,8,191299,1342.25,142.52,1252.25,90
2010,9,152385,1309.5,116.37,1275,34.5
2010,10,198298,1349.75,146.91,1253.75,96
2010,11,199872,1378.5,144.99,1260.5,118
2010,12,149981,1094.25,137.06,1003.5,90.75
2010,13,220159,1484.75,148.28,1338.75,146
2010,14,194371,1313.25,148.01,1198,115.25
2010,15,220647,1621.75,136.05,1462.25,159.5
2010,16,196578,1491.25,131.82,1381.75,109.5
2010,17,183345,1488.25,123.2,1401.75,86.5
2010,18,203874,1560.25,130.67,1488.25,72
2010,19,198123,1419,139.62,1378,41
2010,20,145272,1127.83,128.81,1047.08,80.75
2010,21,137663,1054.64,130.53,991.75,62.89
2010,22,149292,1047.555,142.51,966.635,80.92
2010,23,148811,1023.455,145.4,1002.08,21.375
2010,24,115050,874.375,131.58,793.5,80.875
2010,25,102962,754.74,136.42,698.92,55.82
2010,26,108275,818.385,132.3,771.01,47.375
2010,27,164986,1091.865,151.1,1014.445,77.42
2010,28,168356,1249.96,134.69,1080.02,169.94
2010,29,166236,1146.195,145.03,1068.3,77.895
2010,30,181933,1252.6545,145.24,1117.85,134.8045
2010,31,213647,1730.99,123.42,1556.64,174.35
2010,32,234171,1976.063,118.5,1764.26,211.803
2010,33,184912,1590.655,116.25,1372.56,218.095
2010,34,186258,1593.25,116.9,1375.1,218.15
2010,35,183337,1619.202,113.23,1482.1978,137.0042
2010,36,195842,1752.065,111.78,1591.71,160.355
2010,37,256061,2589.4963,98.88,2192.8257,396.6706
2010,38,328715,3421.7552,96.07,2987.22448,434.53072
2010,39,301203,3643.8942,82.66,3128.7812,515.113
2010,40,334190,4604.78,72.57,3976.77,628.01
2010,41,454257,6903.025,65.81,6264.6,638.425
2010,42,455680,8158.375,55.85,7186.75,971.625
2010,43,263423,4448.555,59.22,3669.83,778.725
2010,44,295824,3095.995,95.55,2498.75,597.245
2010,45,364585,4054.9761,89.91,3463.8599,591.1162
2010,46,399909,4797.575,83.36,4061.2,736.375
2010,47,163929,1812.0683,90.47,1521.9058,290.1625
2010,48,235337,2243.225,104.91,1739.06,504.165
2010,49,364653,3446.70141,105.8,2727.94641,718.755
2010,50,250367,2401.7898,104.24,1877.4592,524.3306
2010,51,164274,1482.1646,110.83,900.1542,582.0104
2010,52,176524,1502.1593,117.51,1089.939,412.2203
2010,53,12980,94.4867,137.37,94.4867,0
2011,1,284878,2284.6826,124.69,1844.8298,439.8528
2011,2,365472,2860.0711,127.78,2353.0954,506.9757
2011,3,343567,2431.193,141.32,2013.4735,417.7195
2011,4,251675,1929.6852,130.42,1451.4327,478.2525
2011,5,264678,1847.033,143.3,1510.5542,343.9449
2011,6,304566,2233.5238,136.36,1849.7521,393.8853
2011,7,269986,2074.2615,130.16,1646.5581,438.0992
2011,8,263169,1937.0616,135.86,1672.122,271.9396
2011,9,442017,3661.53294,120.72,2979.12964,658.8758
2011,10,513853,4165.126,123.37,3493.0336,574.2862
2011,11,568070,4907.9243,115.75,4022.9258,857.8852
2011,12,578552,5086.514,113.74,3985.125,1092.339
2011,13,460199,3806.31374,120.9,3048.15977,758.40397
2011,14,663902,5974.6758,111.12,4478.8492,1514.5766
2011,15,689281,6314.9311,109.15,4899.7854,1423.6457
2011,16,509293,4974.8098,102.37,3714.7176,1260.0922
2011,17,429426,3944.02354,108.88,3086.28889,857.73465
2011,18,509621,4464.40353,114.15,3402.02533,1062.3782
2011,19,558327,4738.35801,117.83,3806.9693,931.38871
2011,20,439581,4171.2,105.38,2979.24,1191.96
2011,21,430448,4152.1919,103.67,2847.5073,1304.6846
2011,22,384836,3466.309,111.02,2526.7865,939.5225
2011,23,455500,4028.605,113.07,2753.875,1274.73
2011,24,403815,3975.33,101.58,2685.12,1285.21
2011,25,388448,3736.13,103.97,2547.3,1188.83
2011,26,479714,4187.73,114.55,3224.24,963.49
2011,27,491915,4670.9,105.31,3821.38,849.52
2011,28,439962,4171.58,105.47,2976.2,1195.38
2011,29,410682,4072.25,100.85,2748.65,1323.6
2011,30,391265,3846.87,101.71,2816.87,1030
2011,31,484478,5132.975,94.39,3851.97,1297.005
2011,32,509035,5457.75,93.27,3889.3,1568.45
2011,33,424887,4621.78,91.93,3424.2525,1194.7775
2011,34,424455,4842.7383,87.65,3404.6558,1438.0825
2011,35,494497,5003.2105,98.84,3774.6755,1228.535
2011,36,448396,4804.3475,93.33,3459.4275,1344.92
2011,37,400997,4870.66,82.33,3553.9875,1316.6725
2011,38,384731,5842.25,65.85,3741,2101.25
2011,39,429555,6561.42,65.47,4059.6075,2501.8125
2011,40,804353,12077.928,66.6,8430.6875,3647.2405
2011,41,1001837,15667.75,63.94,11150.31,4504.19
2011,42,1096576,17838.99,61.47,12837.555,4996.185
2011,43,1012538,19177,52.8,13877.75,5292.5
2011,44,898420,17052.85,52.68,11276.46,5776.39
