"Year","Week in year","Units","Hours","Rate","Direct Hours","Indirect Hours"
2010,1,110338,1295.352,85.18,893.44,401.912
2010,2,118861,1419.667,83.72,928.33,491.337
2010,3,107337,1289.47,83.24,832.93,456.54
2010,4,98789,1207.835,81.79,772.54,435.295
2010,5,110197,1427.382,77.2,888.35,539.032
2010,6,109544,1412.776,77.54,919.52,493.256
2010,7,99274,1315.962,75.44,801.53,514.432
2010,8,102509,1312.74,78.09,763.88,548.86
2010,9,101329,1204.575,84.12,730.4,474.175
2010,10,107604,1257.29,85.58,812.86,444.43
2010,11,106358,1215.235,87.52,809.73,405.505
2010,12,112649,1255.06,89.76,830.48,424.58
2010,13,109172,1190.87,91.67,758.88,431.99
2010,14,110439,1171.735,94.25,730.64,441.095
2010,15,110146,1194.265,92.23,777.915,414.13
2010,16,111084,1212.17,91.64,756.41,450.42
2010,17,108849,1287.73,84.53,796.99,486.25
2010,18,113581,1242.88,91.39,767.84,471.16
2010,19,104804,1147.74,91.31,711.58,433.69
2010,20,98621,1041.713,94.67,668.74,370.113
2010,21,115987,1291.45,89.81,800.96,491.34
2010,22,99395,1067.42,93.12,628.79,438.63
2010,23,108606,1194.59,90.91,757.65,436.94
2010,24,100845,1093.938,92.19,704.55,389.388
2010,25,95925,990.1,96.88,652.54,337.56
2010,26,89399,944.87,94.62,590.22,354.65
2010,27,82860,869.62,95.28,536.06,333.56
2010,28,89515,990.79,90.35,577.11,413.68
2010,29,91058,928.11,98.11,588.74,339.37
2010,30,89528,962.33,93.03,610.82,351.51
2010,31,95684,945.65,101.18,630.41,315.24
2010,32,102624,1070.89,95.83,706.1,364.79
2010,33,110195,1144.13,96.31,765.29,378.84
2010,34,114453,1189.83,96.19,784.48,405.35
2010,35,108967,1115.02,97.73,742.13,372.89
2010,36,107087,1201.735,89.11,732.28,469.455
2010,37,114714,1363.5,84.13,896.88,466.62
2010,38,117493,1467.72,80.05,945.58,522.14
2010,39,120457,1663.29,72.42,859.87,803.42
2010,40,124599,1866.08,66.77,1276.02,590.06
2010,41,120645,1828.27,65.99,1297.56,530.71
2010,42,131155,1920.72,68.28,1297.53,623.19
2010,43,127167,1828.38,69.55,1301.9,526.48
2010,44,125831,2229.25,56.45,1346.25,883
2010,45,133517,2322.83,57.48,1382.75,940.08
2010,46,158916,3214.295,49.44,1979.92,1234.375
2010,47,155868,3378.24,46.14,2042.99,1335.25
2010,48,233207,5034,46.33,3302,1732
2010,49,257185,7677.91,33.5,5204.08,2473.83
2010,50,342618,9229.75,37.12,6750,2479.75
2010,51,213832,6334,33.76,4166.5,2167.5
2010,52,207440,3422.17,60.62,2319.75,1102.42
2010,53,21183,339.5,62.39,226,113.5
2011,1,170683,1903.58,89.66,1129.33,774.25
2011,2,248118,2532.5,97.97,1587.08,945.42
2011,3,197572,2118.08,93.28,1192.5,925.58
2011,4,157714,2061.74,76.5,1240.66,821.08
2011,5,132249,1848.9,71.53,1091.57,757.33
2011,6,124785,1741.91,71.64,1033.49,708.42
2011,7,126414,1777.08,71.14,1064.83,712.25
2011,8,140732,1977.92,71.15,1078.42,899.5
2011,9,147457,1920.605,76.78,1030.17,890.435
2011,10,152914,2052.09,74.52,1391.21,660.88
2011,11,157959,1870.06,84.47,1292.59,577.47
2011,12,167478,2098.75,79.8,1430.24,668.51
2011,13,167392,1904.5,87.89,1301.5,603
2011,14,173268,2202.47,78.67,1349.47,853
2011,15,177944,2230.42,79.78,1369,861.42
2011,16,172682,2456.15,70.31,1628.82,827.33
2011,17,170148,2196.375,77.47,1528.42,667.955
2011,18,179619,2066.705,86.91,1368.08,698.625
2011,19,181825,2207.5,82.37,1450.58,756.92
2011,20,172708,2221.92,77.73,1438.34,783.58
2011,21,178624,2308.455,77.38,1481.92,826.535
2011,22,159470,2096.125,76.08,1330.5,765.625
2011,23,183946,2228.625,82.54,1488.75,739.875
2011,24,181913,2213.505,82.18,1477.83,735.675
2011,25,171288,2116.83,80.92,1454.5,662.33
2011,26,152028,1941.75,78.29,1177.25,764.5
2011,27,141217,1727.45,81.75,1167.37,560.08
2011,28,154631,1694.09,91.28,1128.59,565.5
2011,29,162686,1912.06,85.08,1348.56,563.5
2011,30,159045,1935.22,82.18,1313.97,621.25
2011,31,159171,1900.32,83.76,1345.82,554.5
2011,32,170042,2351.625,72.31,1545.25,806.375
2011,33,173938,2160.455,80.51,1534.5,625.955
2011,34,170207,2282.925,74.56,1637.7,645.225
2011,35,170014,2151.735,79.01,1559.34,592.395
2011,36,189407,2630.36,72.01,2015.84,614.52
2011,37,129434,1742.36,74.29,1191.75,550.61
2011,38,154349,3695.85,41.76,2471.85,1224
2011,39,340624,7681.5,44.34,5722.5,2395.3
2011,40,261099,6382.25,40.91,5394.02,2854.31
2011,41,210331,4854.75,43.32,4208.06,2474.96
2011,42,236647,5102.83,46.38,4462.86,2560.69
2011,43,242103,5248.55,46.13,4877.9,2199.03
2011,44,250900,5386.13,46.58,5099.38,2516
2011,45,277004,6357.75,43.57,5839.5,2841.08
2011,46,280964,7025.75,39.99,6847.67,3392.375
2011,47,309625,8324.225,37.2,7895.475,3806.99
2011,48,442313,10686,41.39,7794,2892
2011,49,485757,10441,46.52,7522,2919
2011,50,515552,10759,47.92,7591.5,3167.5
2011,51,427414,9266,46.13,6375,2891
2011,52,301610,5339.82,56.48,3911.82,1428
